title,stars_rating,run_time,release_date,mpaa_rating,genre,director,cast
Terms of Endearment,2.5,132.0,1983,"Profanity, Sexual Content",Drama/Comedy,James L. Brooks,"Shirley MacLaine, Debra Winger, Jack Nicholson, Danny DeVito, Jeff Daniels, John Lithgow, Lisa Hart Carroll"
1917,3.5,110.0,2019,"Violence, Disturbing Images",War,Sam Mendes,"George MacKay, Dean-Charles Chapman"
Spies in Disguise,2.0,101.0,2019,,Animated,"Nick Bruno, Troy Quane","Will Smith, Tom Holland, Rashida Jones, Ben Mendelsohn, Karen Gillan, DJ Khaled, Reba McEntire"
Just Mercy,3.0,136.0,2019,"Profanity, Adult Themes",Drama,Destin Daniel Cretton,"Michael B. Jordan, Jamie Foxx, Brie Larson, Tim Blake Nelson, Rafe Spall, O’Shea Jackson Jr."
Little Women,3.0,135.0,2019,,Drama,Greta Gerwig,"Saoirse Ronan, Chris Cooper, Louis Garrel, James Norton, Bob Odenkirk, Timothee Chalamet, Laura Dern, Eliza Scanlen, Florence Pugh, Emma Watson, Meryl Streep"
Bombshell,3.0,108.0,2019,"Profanity, Sexual Content",Drama,Jay Roach,"Charlize Theron, Nicole Kidman, Margot Robbie, John Lithgow, Kate McKinnon, Allison Janney, Connie Britton, Mark Duplass, Malcolm McDowell"
Cats,2.5,110.0,2019,,Musical,Tom Hooper,"Francesca Hayward, Judi Dench, Ian McKellan, Idris Elba, Jennifer Hudson, Taylor Swift, James Corden, Rebel Wilson, Laurie Davidson"
Star Wars: The Rise of Skywalker,2.0,141.0,2019,Sci-fi Violence,Science Fiction/Adventure,J.J. Abrams,"Daisy Ridley, Adam Driver, John Boyega, Oscar Isaac, Mark Hamill, Carrie Fisher, Billy Dee Williams, Ian McDiarmid, Kelly Marie Tran, Domhnall Gleeson, Joonas Suotamo, Richard E. Grant, Anthony Daniels"
Uncut Gems,3.5,136.0,2019,"Profanity, Violence, Sexual Content",Drama/Thriller,"Benny Safdie, Josh Safdie","Adam Sandler, Julia Fox, Kevin Garnett, Idina Menzel, Lakeith Stanfield, Eric Bogosian, Judd Hirsch"
Richard Jewell,3.0,129.0,2019,"Violence, Profanity, Sexual Content",Drama,Clint Eastwood,"Paul Walter Houser, Sam Rockwell, Kathy Bates, Jon Hamm, Olivia Wilde, Nina Arianda"
